Date	Region	IsWeekday	DryBulbTemp	RealTimeDemand
1-Jan-19	ME	TRUE	38.95833333	1280.874417
2-Jan-19	ME	TRUE	25.20833333	1448.818667
3-Jan-19	ME	TRUE	28	1435.816333
4-Jan-19	ME	TRUE	34.66666667	1369.13425
5-Jan-19	ME	FALSE	32.625	1305.73225
6-Jan-19	ME	FALSE	32.25	1318.717042
7-Jan-19	ME	TRUE	19.79166667	1467.870667
8-Jan-19	ME	TRUE	25.08333333	1435.15675
9-Jan-19	ME	TRUE	34.04166667	1372.899542
10-Jan-19	ME	TRUE	29.70833333	1390.717042
11-Jan-19	ME	TRUE	16.45833333	1476.562125
12-Jan-19	ME	FALSE	12.875	1468.955583
13-Jan-19	ME	FALSE	15.16666667	1449.13725
14-Jan-19	ME	TRUE	17.16666667	1488.336083
15-Jan-19	ME	TRUE	23.25	1443.286792
16-Jan-19	ME	TRUE	30.16666667	1398.344292
17-Jan-19	ME	TRUE	17.375	1473.202833
18-Jan-19	ME	TRUE	24.33333333	1450.39275
19-Jan-19	ME	FALSE	20.875	1402.727458
20-Jan-19	ME	FALSE	11.54166667	1472.098292
21-Jan-19	ME	TRUE	6.333333333	1547.375208
22-Jan-19	ME	TRUE	13.375	1526.674333
23-Jan-19	ME	TRUE	27.79166667	1465.283125
24-Jan-19	ME	TRUE	44.08333333	1384.66
25-Jan-19	ME	TRUE	33.75	1351.881042
26-Jan-19	ME	FALSE	23.70833333	1380.846583
27-Jan-19	ME	FALSE	29.25	1382.71825
28-Jan-19	ME	TRUE	25	1400.054417
29-Jan-19	ME	TRUE	13	1482.984208
30-Jan-19	ME	TRUE	22.45833333	1425.464125
31-Jan-19	ME	TRUE	8.5	1505.872583
1-Feb-19	ME	TRUE	11.58333333	1499.013792
2-Feb-19	ME	FALSE	13.04166667	1464.203417
3-Feb-19	ME	FALSE	22.95833333	1398.76875
4-Feb-19	ME	TRUE	37.91666667	1325.87425
5-Feb-19	ME	TRUE	45.125	1300.739042
6-Feb-19	ME	TRUE	30.875	1347.66375
7-Feb-19	ME	TRUE	33.95833333	1372.793125
8-Feb-19	ME	TRUE	37.29166667	1332.60125
9-Feb-19	ME	FALSE	25.29166667	1343.263958
10-Feb-19	ME	FALSE	24.125	1355.552125
11-Feb-19	ME	TRUE	23.16666667	1415.648208
12-Feb-19	ME	TRUE	17.20833333	1459.921542
13-Feb-19	ME	TRUE	31.41666667	1392.932292
14-Feb-19	ME	TRUE	29.125	1372.530667
15-Feb-19	ME	TRUE	32.33333333	1391.638583
16-Feb-19	ME	FALSE	33.70833333	1264.497917
17-Feb-19	ME	FALSE	24.375	1297.523458
18-Feb-19	ME	TRUE	21.16666667	1412.983583
19-Feb-19	ME	TRUE	17.08333333	1444.253125
20-Feb-19	ME	TRUE	17.41666667	1437.212375
21-Feb-19	ME	TRUE	32.29166667	1359.216458
22-Feb-19	ME	TRUE	34.54166667	1299.2385
23-Feb-19	ME	FALSE	28.5	1275.98025
24-Feb-19	ME	FALSE	34	1316.210042
25-Feb-19	ME	TRUE	32.79166667	1352.742958
26-Feb-19	ME	TRUE	17.08333333	1454.324458
27-Feb-19	ME	TRUE	12.08333333	1512.425833
28-Feb-19	ME	TRUE	18.625	1438.995667
1-Mar-19	ME	TRUE	22.875	1395.155167
2-Mar-19	ME	FALSE	26.70833333	1348.407417
3-Mar-19	ME	FALSE	28.75	1276.090333
4-Mar-19	ME	TRUE	32.66666667	1337.860167
5-Mar-19	ME	TRUE	22.25	1361.636417
6-Mar-19	ME	TRUE	16.29166667	1398.855208
7-Mar-19	ME	TRUE	14.20833333	1453.599833
8-Mar-19	ME	TRUE	23.45833333	1399.098083
9-Mar-19	ME	FALSE	29.95833333	1271.983708
10-Mar-19	ME	FALSE	32.33333333	1344.073833
11-Mar-19	ME	TRUE	39.29166667	1306.798333
12-Mar-19	ME	TRUE	34.79166667	1294.88425
